specimen_group,n_images,mean_dice,mean_iou,mean_precision,mean_recall,mean_f1,mean_aji,mean_boundary_f1,zero_f1_images,mean_target_instances,mean_pred_instances,mean_fp,mean_fn,pred_target_ratio
Ganglioneuroblastoma,10,0.6938989035181898,0.5912254866943671,0.5039892164085873,0.45945239591653786,0.47910568123300834,0.3525051213768606,0.3000471256668326,1,277.2,246.4,96.8,127.5,0.888888888888889
Neuroblastoma,18,0.2464049568926299,0.15942529799429725,0.04277169764765612,0.07737474579669767,0.05366366156943131,0.12697939751317613,0.11413604486680626,10,40.666666666666664,118.61111111111111,117.05555555555556,38.888888888888886,2.916666666666667
normal,41,0.15494277187287522,0.09361107038974843,0.027080680695592,0.033380917218696064,0.02776959081869197,0.07441946183098913,0.13258400915369528,28,54.31707317073171,153.6829268292683,134.6341463414634,35.146341463414636,2.829366861248316
otherspecimen,10,0.7441638977589742,0.6569028684846726,0.37168552041358854,0.45542170432013795,0.3411048492908634,0.39766460355745764,0.3135280841729093,0,212.6,1129.2,1038.9,114.0,5.311382878645344
